date,photon_density
2019-08-24 00:00:00,      6.6296
2019-08-24 06:00:00,      7.0266
2019-08-24 12:00:00,      6.0518
2019-08-24 18:00:00,      6.3428
2019-08-25 00:00:00,      6.6575
2019-08-25 06:00:00,      7.1363
2019-08-25 12:00:00,      7.5164
2019-08-25 18:00:00,      8.6995
2019-08-26 00:00:00,        12.5
2019-08-26 06:00:00,      11.384
2019-08-26 12:00:00,      7.6032
2019-08-26 18:00:00,      14.748
2019-08-27 00:00:00,      31.381
2019-08-27 06:00:00,      11.237
2019-08-27 12:00:00,      5.0222
2019-08-27 18:00:00,      6.2233
2019-08-28 00:00:00,      4.6137
2019-08-28 06:00:00,      3.4777
2019-08-28 12:00:00,      2.4195
2019-08-28 18:00:00,      2.2414
2019-08-29 00:00:00,      1.9899
2019-08-29 06:00:00,      3.9728
2019-08-29 12:00:00,      10.346
2019-08-29 18:00:00,      7.4295
2019-08-30 00:00:00,      6.6079
2019-08-30 06:00:00,      5.9266
2019-08-30 12:00:00,      12.994
2019-08-30 18:00:00,      9.1391
2019-08-31 00:00:00,      10.046
2019-08-31 06:00:00,      7.8571
2019-08-31 12:00:00,      5.8182
2019-08-31 18:00:00,      3.1005
2019-09-01 00:00:00,      3.1003
2019-09-01 06:00:00,       3.133
2019-09-01 12:00:00,      4.4272
2019-09-01 18:00:00,      3.8403
2019-09-02 00:00:00,      3.3464
2019-09-02 06:00:00,      2.5969
2019-09-02 12:00:00,      2.2337
2019-09-02 18:00:00,      2.4238
2019-09-03 00:00:00,      2.4453
2019-09-03 06:00:00,       2.164
2019-09-03 12:00:00,      2.4203
2019-09-03 18:00:00,      2.7155
2019-09-04 00:00:00,      2.8089
2019-09-04 06:00:00,       2.813
2019-09-04 12:00:00,      2.6505
2019-09-04 18:00:00,      3.7761
2019-09-05 00:00:00,      4.0949
2019-09-05 06:00:00,      2.5992
2019-09-05 12:00:00,      2.4814
2019-09-05 18:00:00,      4.5668
2019-09-06 00:00:00,        3.93
2019-09-06 06:00:00,      3.5114
2019-09-06 12:00:00,      3.0899
2019-09-06 18:00:00,      2.7065
2019-09-07 00:00:00,      2.9561
2019-09-07 06:00:00,       3.276
2019-09-07 12:00:00,      3.2922
2019-09-07 18:00:00,      4.3805
2019-09-08 00:00:00,       5.752
2019-09-08 06:00:00,      6.1821
2019-09-08 12:00:00,       3.781
2019-09-08 18:00:00,      3.9277
2019-09-09 00:00:00,       5.047
